0.4784506274 0.5547122075 0.6401459854 0.5724543081 0.4907666480 0.6787925697 
0.9125090383 0.8751733703 0.8963068182 0.9368968077 0.9300000000 0.9560606061 
0.1826955075 0.2417437252 0.2125435540 0.2542843909 0.6622436671 0.6923076923 
0.8941605839 0.9153175592 0.9375000000 0.8586448598 0.7400000000 0.7810839532 
0.8771186441 0.8801020408 0.8968804159 0.9023539669 0.9300000000 0.9495412844 
0.8766519824 0.9431279621 0.9671931956 0.8374539716 0.8000000000 0.8365738308 
0.5543601359 0.5030832477 0.6043209877 0.5911835749 0.8700000000 0.8998161765 
0.8732590529 0.8793828892 0.9153284672 0.9180087848 0.9330357143 0.9514415781 
0.4508009153 0.4528735632 0.5042662116 0.5125758890 0.9000000000 0.9277864992 
0.3017799353 0.3069958848 0.3482726424 0.3693069307 0.8300000000 0.8859857482 
0.9224376731 0.9301675978 0.8473282443 0.8927613941 0.9300000000 0.9541547278 
0.4627949183 0.4952830189 0.5728498074 0.5529739777 0.9300000000 0.9489633174 
0.4343734522 0.3274831964 0.3918677391 0.5048934945 0.5060588575 0.5116686114 
0.0746815564 0.0751008949 0.0921619294 0.1030580303 0.9300000000 0.9490022173 
0.8000000000 0.7867494824 0.8501118568 0.8137044968 0.6666666667 0.6934306569 
0.1497903697 0.4908409659 0.4531129900 0.1897023331 0.8500000000 0.8555878084 
0.8816936488 0.8602673147 0.8592233010 0.8418549346 0.8900000000 0.9159120310 
0.5957387083 0.6187297012 0.6464361262 0.6265948321 0.8111042090 0.8568322962 
